,ID,Channel,Title,Duration,Release Date,Views,Likes,Comments,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
21,kVesN6wmRqA,NCT,[NCT LIFE MINI] NCT 127과 함께 하는 다시 돌아온 '음악게임' #3,00:06:12,2017-04-17 06:00:02,25525.0,2987.0,61.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,VB8D4dDvX3s,NCT,[NCT LIFE MINI] NCT 127과 함께 하는 다시 돌아온 '음악게임' #4,00:07:13,2017-04-18 06:00:01,24515.0,2725.0,50.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,_oiUDbTJWbk,NCT,[NCT LIFE MINI] NCT 127과 함께 하는 다시 돌아온 '음악게임' #5,00:11:07,2017-04-19 06:00:02,34740.0,2904.0,59.0,4.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0wEMA_BdkMk,NCT,[NCT LIFE MINI] NCT 127 ‘롤러코스터(Heartbreaker)’ (Self-cam Ver.),00:03:19,2017-04-20 08:00:01,57113.0,7147.0,196.0,14.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,6.0,1.0,0.0,0.0,0.0,0.0,37.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
25,aL_mTKWwRto,SMTOWN,[STATION] Hitchhiker X 태용 (TAEYONG) 'AROUND' MV,00:02:26,2017-05-12 09:00:01,6051297.0,328491.0,13316.0,1154.0,262.0,241.0,219.0,177.0,159.0,134.0,123.0,105.0,74.0,74.0,47.0,64.0,48.0,73.0,50.0,46.0,45.0,32.0,41.0,24.0,23.0,22.0,18.0,3255.0,304.0,200.0,137.0,106.0,135.0,94.0,4580.0,174.0,99.0,53.0,40.0,43.0,79.0,103.0,95.0,133.0,155.0,173.0
26,WkuHLzMMTZM,SMTOWN,NCT 127 엔시티 127 'Cherry Bomb' MV,00:04:30,2017-06-14 09:00:03,165710221.0,2869222.0,114310.0,8264.0,2611.0,1640.0,1460.0,1372.0,1189.0,1388.0,1024.0,710.0,537.0,452.0,348.0,392.0,360.0,354.0,312.0,326.0,275.0,230.0,246.0,235.0,216.0,217.0,182.0,24340.0,1843.0,927.0,672.0,615.0,539.0,646.0,33846.0,1424.0,943.0,707.0,752.0,494.0,814.0,958.0,807.0,839.0,828.0,706.0
27,U33DrWuAOEQ,NCT 127,[#4Ket] NCT 127_Cherry Bomb #YUTA,00:04:30,2017-06-28 23:00:00,108934.0,8780.0,185.0,5.0,8.0,9.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,47.0,4.0,0.0,0.0,0.0,0.0,0.0,56.0,4.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0
28,9qNejrZx8bc,NCT 127,[#4Ket] NCT 127_Cherry Bomb #TAEYONG,00:04:30,2017-06-28 23:00:00,52114.0,5661.0,136.0,12.0,4.0,6.0,6.0,3.0,1.0,3.0,1.0,0.0,3.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,3.0,0.0,0.0,1.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0
29,9WEDtnhIsfs,NCT 127,[#4Ket] NCT 127_Cherry Bomb #TAEIL,00:04:30,2017-06-28 23:00:00,23815.0,3066.0,118.0,4.0,3.0,7.0,4.0,18.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,47.0,2.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0
30,8cS6R_OOE8c,NCT 127,[#4Ket] NCT 127_Cherry Bomb,00:04:30,2017-06-28 23:00:00,45635.0,4780.0,95.0,6.0,8.0,6.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,38.0,3.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,PsNKxy5gPtU,NCT 127,[#4Ket] NCT 127_Cherry Bomb #WINWIN,00:04:30,2017-06-28 23:00:01,24276.0,2826.0,91.0,4.0,5.0,9.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2.0,1.0,0.0,0.0,0.0,0.0,32.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,6ZkTy1qe_5o,NCT 127,[#4Ket] NCT 127_Cherry Bomb #JOHNNY,00:04:30,2017-06-28 23:00:01,20478.0,2160.0,70.0,4.0,5.0,7.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,27.0,1.0,1.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
33,jyTu0bzvtsk,NCT 127,[#4Ket] NCT 127_Cherry Bomb #HAECHAN,00:04:30,2017-06-28 23:00:04,53410.0,4470.0,96.0,8.0,5.0,4.0,1.0,1.0,2.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,41.0,1.0,1.0,0.0,1.0,0.0,0.0,47.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0
34,sXgqb4M3Su4,NCT 127,[#4Ket] NCT 127_Cherry Bomb #MARK,00:04:30,2017-06-28 23:00:04,36660.0,3293.0,62.0,8.0,4.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,4.0,2.0,0.0,0.0,0.0,0.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,l4Mx3VQ6tTs,NCT 127,[#4Ket] NCT 127_Cherry Bomb #JAEHYUN,00:04:30,2017-06-28 23:00:04,189416.0,12184.0,172.0,10.0,2.0,8.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,1.0,0.0,0.0,0.0,0.0,41.0,0.0,3.0,3.0,1.0,1.0,0.0,2.0,1.0,4.0,5.0,3.0
