,ID,Channel,Title,Duration,Release Date,Views,Likes,Comments
69,c3Elfo7qL5Q,SMTOWN,[#4Ket] NCT DREAM_Trigger the fever #RENJUN,00:03:28,2017-08-30 10:00:02,212339,15440,450
70,KjJyLVsYFGo,NCT DREAM,[#4Ket] NCT DREAM_Trigger the fever #MARK,00:03:28,2017-08-30 10:00:02,22050,3111,47
71,XxDaEPphKwY,NCT DREAM,[#4Ket] NCT DREAM_Trigger the fever #RENJUN,00:03:28,2017-08-30 10:00:02,32798,4742,223
72,n918EUjo1uU,NCT DREAM,[#4Ket] NCT DREAM_Trigger the fever #CHENLE,00:03:28,2017-08-30 10:00:03,20943,3465,124
73,_UHJKjDmmaQ,SMTOWN,[#4Ket] NCT DREAM_Trigger the fever #HAECHAN,00:03:28,2017-08-30 10:00:03,104736,8232,309
74,fJXYTL2zPuY,SMTOWN,[#4Ket] NCT DREAM_Trigger the fever #CHENLE,00:03:28,2017-08-30 10:00:03,83189,6758,187
75,ZoQjQIIxM-A,NCT DREAM,[#4Ket] NCT DREAM_Trigger the fever #JENO,00:03:28,2017-08-30 10:00:04,26995,3603,73
76,hoaD6EbkI88,NCT DREAM,[#4Ket] NCT DREAM_Trigger the fever #JISUNG,00:03:28,2017-08-30 10:00:05,66170,6182,81
77,zHioHoTBjAA,SMTOWN,[#4Ket] NCT DREAM_Trigger the fever #MARK,00:03:28,2017-08-30 10:00:05,77049,5602,123
78,gj2GLNA2rII,SMTOWN,[#4Ket] NCT DREAM_Trigger the fever #JISUNG,00:03:28,2017-08-30 10:00:06,161953,9659,218
79,UOYx8QQjteQ,SMTOWN,NCT DREAM BOY VIDEO Teaser,00:00:26,2017-09-06 09:00:01,198485,21587,613
80,bs1MLWepK5U,NCT DREAM,NCT DREAM BOY VIDEO Teaser,00:00:26,2017-09-06 09:00:02,67339,9794,151
81,WKHlr_6SZMo,NCT DREAM,NCT DREAM_ MY PAGE,00:02:17,2017-09-07 10:00:02,132671,18409,378
82,lul81M-Bsx8,SMTOWN,NCT DREAM_ MY PAGE,00:02:17,2017-09-07 10:00:04,957043,92434,2552
83,UuAyOm8tYkc,SMTOWN,NCT DREAM BOY #JISUNG VIDEO,00:02:30,2017-09-11 09:00:01,222856,24327,821
84,RzEKjind9QA,NCT DREAM,NCT DREAM BOY #JISUNG VIDEO,00:02:30,2017-09-11 09:00:02,97119,10381,166
85,1qaeO7w0BZ4,NCT DREAM,NCT DREAM BOY #CHENLE VIDEO,00:02:13,2017-09-13 09:00:00,58630,7234,140
86,hEnw-lSbjbY,SMTOWN,NCT DREAM BOY #CHENLE VIDEO,00:02:13,2017-09-13 09:00:05,205052,19706,635
87,86sriYFYJDQ,SMTOWN,[N'-4] JOHNNY's Communication Center Ep.1,00:02:15,2017-09-14 07:00:00,217421,18283,611
88,8IS6npMU77Y,NCT DREAM,NCT DREAM BOY #MARK VIDEO,00:02:49,2017-09-15 09:00:01,59844,6543,136
